,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,location_city,average_speed,max_speed
0,3837104567,Morning Run,2020-07-30T09:26:50Z,Run,6023.6,1969,2122,40.7,,3.059,8.2
1,3818843412,Morning Run,2020-07-27T09:27:18Z,Run,5960.4,1972,2058,40.7,,3.023,7.2
2,3811478413,Afternoon Run,2020-07-25T15:33:51Z,Run,5874.6,1912,2038,39.3,,3.072,5.9
3,3805291841,Afternoon Run,2020-07-23T17:01:49Z,Run,4952.8,1608,1644,36.9,,3.08,7.1
4,3794156007,Morning Run,2020-07-21T09:09:28Z,Run,5974.5,1948,2077,42.9,,3.067,7.5
5,3783931464,Morning Run,2020-07-19T09:14:38Z,Run,6134.6,1983,2086,42.7,,3.094,9.8
6,3769717664,Morning Run,2020-07-16T09:09:38Z,Run,5849.9,1961,2079,41.1,,2.983,13.6
7,3754905675,Morning Run,2020-07-13T09:06:19Z,Run,6027.7,2004,2215,42.3,,3.008,6.9
8,3740102672,Morning Run,2020-07-10T09:24:52Z,Run,5076.0,1540,1594,36.4,,3.296,6.6
9,3730679131,Morning Run,2020-07-08T09:27:40Z,Run,5003.5,1629,1691,36.3,,3.072,6.1
10,3711062775,Morning Run,2020-07-04T10:44:56Z,Run,5871.8,1917,2070,40.0,,3.063,6.0
11,3701627295,Morning Run,2020-07-02T09:35:06Z,Run,5939.2,1923,2029,42.3,,3.089,6.5
12,3691676334,Morning Run,2020-06-30T09:13:39Z,Run,5998.6,1897,2021,41.7,,3.162,11.1
13,3676830912,Morning Run,2020-06-27T08:04:53Z,Run,5937.2,1930,2020,42.1,,3.076,7.8
14,3667978114,Morning Run,2020-06-25T08:58:31Z,Run,4994.7,1606,1665,35.6,,3.11,8.9
15,3641811644,Morning Run,2020-06-20T09:32:10Z,Run,5010.3,1574,1592,37.2,,3.183,7.4
16,3627678485,Morning Run,2020-06-17T09:16:18Z,Run,5044.2,1591,1663,35.6,,3.17,7.3
17,3611394687,Morning Run,2020-06-14T08:19:42Z,Run,5012.1,1644,1737,37.4,,3.049,7.6
18,3596677770,Morning Run,2020-06-11T09:28:50Z,Run,5009.7,1765,1765,35.5,,2.838,7.0
19,3581635674,Morning Run,2020-06-08T09:26:25Z,Run,5155.8,1622,1657,38.7,,3.179,7.2
20,3566448863,Morning Run,2020-06-05T09:11:06Z,Run,5140.2,1685,1762,35.2,,3.051,6.3
21,3551316560,Morning Run,2020-06-02T09:23:27Z,Run,5000.0,1800,1800,0,,2.778,0.0
22,3524295751,Morning Run,2020-05-28T09:13:17Z,Run,5117.2,1782,1830,35.8,,2.872,6.0
23,3507873145,Morning Run,2020-05-25T09:28:39Z,Run,5099.4,1756,1817,36.2,,2.904,7.1
24,3492302392,Morning Run,2020-05-22T09:41:21Z,Run,4984.1,1905,1905,35.5,,2.616,5.6
25,3314832305,Morning Run,2020-04-18T09:01:10Z,Run,5239.6,2302,2756,35.8,,2.276,4.9
26,3270149479,Morning Run,2020-04-08T10:14:27Z,Run,5535.8,1926,2233,49.7,,2.874,7.1
27,3257214179,Morning Run,2020-04-05T09:56:56Z,Run,10367.8,3441,3619,70.7,,3.013,5.8
28,3241417626,Morning Run,2020-04-01T09:53:59Z,Run,10681.9,3599,3829,79.3,,2.968,6.0
29,3212273218,Morning Run,2020-03-24T09:13:22Z,Run,5044.0,1662,1733,36.9,,3.035,5.7
30,3185305618,Morning Run,2020-03-15T10:06:13Z,Run,21407.3,7085,8184,144.9,,3.021,6.6
31,3167948008,Morning Run,2020-03-09T09:35:18Z,Run,6104.7,2062,2155,45.0,,2.961,6.1
32,3164310880,Morning Run,2020-03-08T08:47:19Z,Run,5976.7,2013,2123,43.9,,2.969,6.2
33,3155826510,Morning Run,2020-03-05T09:43:05Z,Run,6020.5,2035,2154,41.1,,2.958,6.3
34,3153516520,Afternoon Run,2020-03-04T13:52:54Z,Run,5916.5,2024,2117,40.5,,2.923,5.3
35,3147298549,Morning Run,2020-03-02T09:40:18Z,Run,5893.9,1961,2044,39.7,,3.006,9.4
36,3143895120,Morning Run,2020-03-01T08:47:01Z,Run,5988.1,1971,2113,43.0,,3.038,5.9
37,3135835128,Morning Run,2020-02-27T10:02:22Z,Run,5935.8,1969,2112,42.9,,3.015,5.9
38,3133176961,Morning Run,2020-02-26T09:47:27Z,Run,10292.5,3370,3547,70.8,,3.054,7.7
39,3130206985,Morning Run,2020-02-25T09:45:34Z,Run,4868.5,1564,1659,38.1,,3.113,7.5
40,3107320359,Morning Run,2020-02-17T10:34:48Z,Run,5871.4,1981,2087,42.8,,2.964,6.4
41,3095889854,Morning Run,2020-02-13T10:32:47Z,Run,5870.2,2017,2173,44.4,,2.91,7.4
42,3093031683,Morning Run,2020-02-12T10:17:57Z,Run,5865.1,2001,2099,44.2,,2.931,6.2
43,3081287400,Morning Run,2020-02-08T08:11:18Z,Run,5881.4,2105,2105,41.5,,2.794,5.9
44,3076580492,Lunch Run,2020-02-06T12:28:24Z,Run,5882.2,2115,2115,42.9,,2.781,5.5
45,3061239755,Morning Run,2020-02-01T09:24:10Z,Run,5988.5,2014,2307,80.7,,2.973,7.3
46,3053195339,Morning Run,2020-01-29T10:10:31Z,Run,10280.8,3452,3721,73.1,,2.978,7.2
47,3047551798,Morning Run,2020-01-27T10:13:25Z,Run,5885.5,2006,2107,41.3,,2.934,6.2
48,3032861339,Morning Run,2020-01-22T07:36:21Z,Run,5844.0,2016,2160,41.9,,2.899,5.4
49,3015868751,Morning Run,2020-01-16T10:29:25Z,Run,5880.0,1900,2045,43.3,,3.095,5.7
50,3012852068,Morning Run,2020-01-15T09:42:23Z,Run,5921.5,1997,2087,43.2,,2.965,6.5
51,3007317932,Morning Run,2020-01-13T10:38:26Z,Run,5915.8,2140,2140,43.1,,2.764,6.6
52,3000408018,Morning Run,2020-01-11T08:25:24Z,Run,6591.9,2352,2352,45.4,,2.803,5.9
53,2980325021,Morning Run,2020-01-04T09:37:17Z,Run,5341.3,1646,1764,26.6,,3.028,10.2
54,2969644701,Morning Run,2019-12-31T09:31:36Z,Run,5890.2,2072,2202,41.2,,2.843,5.9
55,2959199472,Morning Run,2019-12-27T07:38:35Z,Run,5903.1,2044,2133,43.1,,2.888,6.3
56,2952770078,Morning Run,2019-12-24T08:00:39Z,Run,10126.3,3497,3796,69.2,,2.896,7.0
57,2946128217,Morning Run,2019-12-21T07:47:02Z,Run,5920.6,2034,2162,43.2,,2.911,5.9
58,2936478742,Morning Run,2019-12-16T10:41:19Z,Run,5852.3,2037,2199,41.0,,2.873,6.1
59,2931418197,Pre football,2019-12-14T07:28:29Z,Run,10429.6,3462,3611,72.8,,3.013,5.7
60,2928092645,Lunch Run,2019-12-12T12:02:35Z,Run,5772.2,2007,2111,40.8,,2.876,6.0
61,2925738944,Morning Run,2019-12-11T09:49:35Z,Run,5894.6,2087,2181,43.1,,2.824,5.8
62,2914525610,Morning Run,2019-12-06T09:11:58Z,Run,5836.4,1991,2061,41.2,,2.931,6.4
63,2907928649,Morning Run,2019-12-03T09:50:43Z,Run,5798.3,2053,2130,42.3,,2.824,6.4
64,2903277912,Morning Run,2019-12-01T08:37:25Z,Run,5950.3,2016,2128,42.9,,2.952,5.6
65,2890350917,Lunch Run,2019-11-25T12:49:43Z,Run,10151.9,3585,3896,70.4,,2.832,5.3
66,2880565733,Morning Run,2019-11-21T09:53:49Z,Run,5897.3,2031,2126,40.9,,2.904,5.8
67,2875805961,Morning Run,2019-11-19T10:35:58Z,Run,5897.1,2111,2207,41.4,,2.794,5.6
68,2861796298,Pre football,2019-11-13T10:35:00Z,Run,10210.3,3700,4094,76.2,,2.76,7.5
69,2844795899,Morning Run,2019-11-06T08:58:09Z,Run,5878.6,1953,2020,41.1,,3.01,7.0
70,2839903102,Morning Run,2019-11-04T08:00:50Z,Run,5889.0,2042,2114,43.4,,2.884,5.7
71,2834529448,Morning Run,2019-11-02T07:23:42Z,Run,5914.3,2004,2124,43.1,,2.951,6.5
72,2812858953,Morning Run,2019-10-24T09:42:53Z,Run,4843.0,1597,1666,33.7,,3.033,5.9
73,2810380584,Morning Run,2019-10-23T10:16:05Z,Run,4808.2,1605,1681,35.3,,2.996,7.0
74,2807770660,Morning Run,2019-10-22T10:17:42Z,Run,4787.5,1656,1713,35.5,,2.891,5.4
75,2781872209,Morning Run,2019-10-12T09:53:56Z,Run,4741.1,1613,1688,38.0,,2.939,8.6
76,2777382179,Lunch Run,2019-10-10T11:25:23Z,Run,4763.0,1647,1715,38.1,,2.892,7.1
77,2774685032,Morning Run,2019-10-09T09:36:49Z,Run,4799.2,1655,1725,35.4,,2.9,5.9
78,2759189818,Morning Run,2019-10-03T10:39:59Z,Run,4754.9,1618,1714,35.3,,2.939,8.3
79,2756901140,Lunch Run,2019-10-02T12:56:34Z,Run,4832.3,1613,1698,37.8,,2.996,6.8
80,2751729494,Lunch Run,2019-09-30T12:53:52Z,Run,4812.9,1638,1701,37.8,,2.938,5.9
81,2748202359,Morning Run,2019-09-29T07:32:13Z,Run,4887.0,1790,1845,34.5,,2.73,8.3
82,2686280812,Morning Run,2019-09-07T07:04:33Z,Run,7125.9,2502,2666,59.4,,2.848,6.5
83,2623036952,Morning Run,2019-08-16T06:48:25Z,Run,6453.7,2092,2221,80.2,,3.085,6.0
84,2617346759,Morning Run,2019-08-14T06:25:24Z,Run,7275.7,2520,2740,86.0,,2.887,6.7
85,2580675366,Morning Run,2019-08-01T09:10:30Z,Run,5918.1,1842,1934,41.9,,3.213,9.3
86,2574955413,Morning Run,2019-07-30T09:31:32Z,Run,5830.3,1913,2015,41.4,,3.048,8.9
87,2572124246,Morning Run,2019-07-29T09:13:15Z,Run,5763.7,1894,1988,41.2,,3.043,6.1
88,2564046166,Morning Run,2019-07-26T09:08:17Z,Run,5882.2,1884,2017,41.6,,3.122,6.5
89,2542128341,Back fine-still very slow ,2019-07-18T09:38:05Z,Run,10078.7,3717,3751,74.8,,2.712,7.2
90,2539254090,Back feels fine-very slow ,2019-07-17T09:20:14Z,Run,7631.7,2586,2772,71.6,,2.951,10.9
91,2530293265,6,2019-07-14T07:35:23Z,Run,10243.0,3322,3457,75.6,,3.083,7.1
92,2525015896,5,2019-07-12T06:55:34Z,Run,4842.3,1534,1619,35.4,,3.157,7.1
93,2522529623,4,2019-07-11T08:43:24Z,Run,4848.5,1501,1593,32.0,,3.23,6.3
94,2519606634,3 ,2019-07-10T07:09:36Z,Run,4833.5,1503,1532,36.9,,3.216,6.2
95,2516690838,2 ,2019-07-09T08:39:01Z,Run,4850.1,1529,1608,34.3,,3.172,6.9
96,2510726876,1-first at home,2019-07-07T07:54:34Z,Run,4899.6,1555,1643,36.9,,3.151,6.7
97,2430671612,Pre fines night ,2019-06-07T12:36:15Z,Run,11080.7,3409,3649,98.3,,3.25,8.7
98,2421192185,Late evening ,2019-06-03T20:56:23Z,Run,6909.0,2088,2181,46.9,,3.309,5.7
99,2416222065,Morning Run,2019-06-02T07:02:40Z,Run,5522.0,1650,1733,43.6,,3.347,6.5
100,2413238695,Morning Run,2019-06-01T06:50:34Z,Run,5578.3,1693,1778,43.3,,3.295,7.7
101,2410886345,Morning Run,2019-05-31T07:03:59Z,Run,5576.7,1683,1768,42.4,,3.314,6.0
102,2402412662,Late evening,2019-05-27T20:56:07Z,Run,5894.6,1742,1818,42.5,,3.384,6.4
103,2397684700,Morning Run,2019-05-26T07:30:12Z,Run,5546.0,1688,1749,42.3,,3.286,7.0
104,2394831830,Morning Run,2019-05-25T07:22:15Z,Run,5530.4,1705,1731,42.3,,3.244,6.0
105,2384399905,Morning Run,2019-05-21T07:06:37Z,Run,5571.3,1669,1821,43.7,,3.338,6.0
106,2378933702,Morning Run,2019-05-19T06:56:20Z,Run,5586.9,1683,1744,44.0,,3.32,6.5
107,2376353990,Post haircut,2019-05-18T08:46:31Z,Run,5689.3,1737,1889,58.0,,3.275,9.5
108,2371567471,Morning Run,2019-05-16T07:11:46Z,Run,5690.3,1771,1869,42.5,,3.213,6.2
109,2368834896,Morning Run,2019-05-15T07:06:57Z,Run,5517.2,1629,1719,41.9,,3.387,6.4
110,2366015660,Morning Run,2019-05-14T07:11:52Z,Run,5727.8,1896,1898,50.3,,3.021,6.1
111,2357721204,Fitness test,2019-05-11T07:17:47Z,Run,5625.7,1845,1904,51.1,,3.049,7.0
112,2342766923,Post cricket ,2019-05-05T07:54:34Z,Run,5920.9,1852,1954,54.5,,3.197,10.7
113,2339333635,Fitness test,2019-05-03T20:25:01Z,Run,6407.5,2019,2136,52.8,,3.174,5.5
114,2303679081,Pre BBQ,2019-04-20T08:13:38Z,Run,10329.6,3709,3781,78.6,,2.785,5.9
115,2301077317,Good Friday ,2019-04-19T08:38:54Z,Run,5054.6,1600,1744,60.7,,3.159,5.7
116,2291215809,1 - race,2019-04-15T09:36:34Z,Run,5162.3,1648,1817,60.3,,2.841,6.2
117,2285650402,2 - pre rugby,2019-04-13T07:56:37Z,Run,5025.3,1609,1761,58.0,,3.123,7.6
118,2283700331,1 - first back home,2019-04-12T09:20:26Z,Run,3099.3,914,1030,12.0,,3.391,5.5
119,2276445567,5 - post haircut ,2019-04-09T09:55:47Z,Run,5553.9,1712,1836,54.8,,3.244,6.1
120,2275325514,4,2019-04-08T19:33:33Z,Run,5646.2,1816,1905,50.0,,3.109,6.1
121,2270995781,3,2019-04-07T09:01:54Z,Run,5505.9,1794,1863,48.7,,3.069,7.4
122,2268183685,2,2019-04-06T08:28:26Z,Run,5617.4,1860,1925,50.5,,3.02,6.7
123,2266217119,1,2019-04-05T08:54:57Z,Run,6469.5,2125,2306,51.0,,3.044,6.4
124,2244572489,Afternoon Run,2019-03-27T14:36:16Z,Run,4174.9,1289,1452,65.2,,3.239,5.9
125,2235896475,Morning Run,2019-03-24T07:13:00Z,Run,7374.3,2371,2531,52.4,,3.11,6.4
126,2233142682,Post pub,2019-03-23T07:10:20Z,Run,7401.3,2366,2526,55.1,,3.128,6.2
127,2200500859,Pre football,2019-03-09T06:27:58Z,Run,7402.9,2348,2476,54.5,,3.153,6.2
128,2198595472,Post 2 week break ,2019-03-08T07:04:19Z,Run,7380.1,2383,2601,55.4,,3.097,6.7
129,2168431352,Pre rugby ,2019-02-23T07:27:52Z,Run,11566.5,3682,3911,107.0,,3.141,6.3
130,2166426259,Morning Run,2019-02-22T07:18:56Z,Run,7394.1,2328,2501,52.6,,3.176,5.9
131,2159495636,Fitness test,2019-02-19T07:01:54Z,Run,7470.1,2329,2500,54.8,,3.207,6.2
132,2152242695,Post haircut carrying shopping ,2019-02-16T09:07:53Z,Run,7132.8,2324,2479,49.9,,3.069,6.5
133,2147941111,Post win,2019-02-14T07:06:39Z,Run,7478.2,2302,2492,55.2,,3.249,6.4
134,2138414275,Post cricket ,2019-02-11T07:05:56Z,Run,7411.2,2327,2415,55.6,,3.185,6.7
135,2131762602,22nd,2019-02-08T07:03:16Z,Run,11584.5,3720,3937,108.5,,3.114,9.4
136,2125157279,Fitness test,2019-02-05T06:59:09Z,Run,7545.0,2489,2645,56.5,,3.031,6.6
137,2108500062,4th strava,2019-01-28T07:52:07Z,Run,7906.6,2591,2708,56.7,,3.052,6.5
138,2099687389,Third strava ,2019-01-24T07:27:38Z,Run,7430.3,2396,2510,54.5,,3.101,6.7
139,2084269386,Second strava ,2019-01-17T07:29:31Z,Run,7494.6,2418,2507,55.7,,3.1,6.5
140,2079622414,First strava ,2019-01-15T07:02:59Z,Run,7419.5,2383,2547,53.2,,3.114,5.7
